Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
2/19/2013,62.811134,21.289562,132.809998,104.769997,9.378551,107.610001
2/21/2013,61.18198,21.53182,130.779999,105.269997,9.394494,107.580002
2/22/2013,61.798672,21.54151,130.800003,104.919998,9.394494,107.580002
2/25/2013,61.034698,21.628723,129.550003,107.349998,9.434339,107.769997
2/27/2013,61.890705,21.56089,130.330002,106.339996,9.418396,107.580002
2/28/2013,61.761837,21.677177,129.490005,105.760002,9.443145,107.800003
3/1/2013,62.019573,21.74501,129.169998,104.760002,9.451126,107.800003
3/4/2013,62.295708,21.735315,129.130005,104.860001,9.443145,107.949997
3/5/2013,63.216141,21.706245,129.350006,105.080002,9.435162,107.919998
3/6/2013,63.059685,21.793459,128.860001,104.160004,9.419196,108.07
3/7/2013,63.225349,21.696554,129.970001,103.290001,9.403233,108.029999
3/8/2013,63.298985,21.86129,128.919998,102.050003,9.379284,108.029999
3/11/2013,63.483067,21.81284,129.279999,101.800003,9.379284,108
3/12/2013,63.252956,21.803148,129.240005,102.110001,9.395248,108.220001
3/15/2013,63.205631,21.706245,129.539993,102.75,9.403233,108.150002
3/18/2013,63.067234,21.841911,128.25,102.860001,9.419196,108.32
3/20/2013,63.390144,21.86129,128.330002,101.989998,9.411211,108.480003
3/22/2013,63.279415,21.725626,128.770004,103.720001,9.419196,108.690002
3/25/2013,63.048782,21.880672,127.459999,104.059998,9.419196,108.639999
3/27/2013,63.473156,21.958193,126.660004,103.769997,9.435162,108.480003
4/2/2013,63.694588,21.870979,127.050003,104.82,9.452753,108.550003
4/3/2013,63.113361,21.822531,127.379997,105.419998,9.46875,108.769997
4/4/2013,63.131817,21.793459,128.279999,101.800003,9.492742,109.089996
4/5/2013,62.605923,21.7547,128.979996,100.169998,9.516731,109.089996
4/8/2013,62.938068,21.81284,128.929993,98.610001,9.500735,109.970001
4/9/2013,63.362431,21.715937,129.710007,98.910004,9.500735,109.699997
4/11/2013,64.571022,21.677177,129.850006,98.089996,9.484743,109.629997
4/15/2013,63.251736,21.715937,129.179993,101.199997,9.516731,109.760002
4/16/2013,64.091278,21.54151,130.649994,100.349998,9.508733,109.730003
4/17/2013,62.836586,21.774076,129.160004,99.779999,9.516731,109.980003
4/18/2013,61.969353,21.764387,129.389999,99.739998,9.516731,110.019997
4/19/2013,62.818108,21.803148,129.470001,98.440002,9.508733,110.019997
4/22/2013,63.46394,21.793459,129.460007,98.650002,9.516731,110.459999
4/23/2013,64.072815,21.870979,128.839996,98.459999,9.508733,110.790001
4/24/2013,64.045151,21.86129,129.020004,98.339996,9.516731,110.709999
4/26/2013,64.183548,21.715937,129.179993,99.830002,9.524724,110.610001
4/29/2013,64.773972,21.619034,129.809998,100.07,9.524724,111.050003
4/30/2013,65.244484,21.512442,130.529999,100.459999,9.542361,111.050003
5/2/2013,65.761131,21.638412,129.479996,99.940002,9.550374,111.610001
5/3/2013,66.536102,21.628723,129.990005,98.910004,9.51031,111.610001
5/8/2013,67.080444,21.580275,130.380005,98.959999,9.502296,111.360001
5/9/2013,66.98819,21.783768,129.160004,97.330002,9.494285,111.190002
5/10/2013,67.394119,21.900051,128.669998,96.419998,9.470248,111.190002
5/13/2013,67.477112,21.938812,128.529999,96.150002,9.454226,110.610001
5/14/2013,67.827698,22.026026,128.190002,95.730003,9.438201,110.480003
5/15/2013,67.966103,22.084169,127.610001,95.699997,9.446215,110.410004
5/17/2013,68.547333,22.21014,127.129997,94.82,9.438201,110.769997
5/20/2013,68.445847,22.074478,127.739998,95.760002,9.438201,110.860001
5/21/2013,68.51963,22.084169,127.889999,95.550003,9.454226,110.669998
5/22/2013,67.919983,22.18107,127.379997,95.120003,9.414165,110.830002
5/23/2013,67.763145,22.035715,128.229996,96.169998,9.414165,110.400002
5/24/2013,67.726234,22.006643,128.160004,96.849998,9.414165,110.169998
5/28/2013,68.169075,22.161692,127.459999,95.75,9.350061,110.25
5/29/2013,67.846169,21.996956,128.210007,96.779999,9.366089,109.839996
5/30/2013,68.205978,21.851601,129.210007,97.150002,9.366089,109.919998
5/31/2013,67.578621,21.909742,128.779999,97.459999,9.367697,109.82
6/3/2013,67.698547,21.7547,129.520004,98.410004,9.367697,109.730003
6/4/2013,67.347984,21.764387,129.619995,97.870003,9.351638,109.730003
6/6/2013,66.794434,21.444609,131.240005,100.879997,9.367697,109.230003
6/7/2013,67.707794,21.473679,130.960007,100.5,9.335592,109.330002
6/10/2013,67.735474,21.48337,131.330002,99.150002,9.319533,109.019997
6/11/2013,67.061989,21.299253,131.919998,102.110001,9.327561,108.760002
6/12/2013,66.287003,21.289562,132.070007,101.970001,9.303478,108.790001
6/14/2013,66.683708,21.202349,132.220001,103.75,9.351638,109.330002
6/17/2013,67.329536,21.163591,132.529999,103.610001,9.335592,109.330002
6/18/2013,67.883057,21.182972,132.729996,102.709999,9.335592,109.110001
6/19/2013,67.126556,21.376776,131.570007,101.400002,9.271374,109.300003
6/20/2013,65.53051,21.50275,130.929993,100.510002,9.223208,108.160004
6/21/2013,65.18251,21.648104,130.039993,100.160004,9.167015,107.870003
6/24/2013,64.534676,21.667486,130.020004,100.25,9.134912,107
6/25/2013,65.006653,21.706245,129.75,100.089996,9.134912,107
6/26/2013,65.589706,21.822531,128.860001,100.050003,9.158987,106.470001
6/27/2013,65.867416,21.81284,129.160004,99.529999,9.199123,106.879997
6/28/2013,65.959923,21.86129,128.929993,98.629997,9.216011,106.959999
7/1/2013,66.367149,21.81284,129.419998,98.239998,9.2321,107.239998
7/2/2013,66.394913,21.958193,128.520004,97.25,9.2321,107.389999
7/3/2013,66.663284,21.870979,128.880005,97.800003,9.216011,107.25
7/5/2013,67.172325,22.19076,127.099998,96.699997,9.111471,107.370003
7/8/2013,67.237106,22.132618,127.470001,96.830002,9.159724,107.559998
7/9/2013,67.644341,22.219831,126.639999,96.849998,9.167767,107.639999
7/11/2013,69.384277,21.725626,129.779999,98.959999,9.191883,107.440002
7/12/2013,69.689667,21.774076,129.429993,98.489998,9.191883,107.650002
7/15/2013,69.846992,21.793459,129.440002,98.120003,9.216011,107.629997
7/16/2013,69.754456,21.638412,130.410004,98.830002,9.224051,107.790001
