"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"204",58.525127,20.910648,33.981369,45.751503,24.860001,22.239212,122.139999,123.43,9.38015,102.739998
"205",57.521111,20.887476,33.607761,45.358093,24.85,22.268284,121.75,123.339996,9.395818,102.739998
"206",56.982574,20.709803,32.893761,45.496136,24.67,22.316736,121.370003,123.919998,9.403656,102.739998
"207",57.849686,20.995621,33.574551,46.055161,25.030001,22.219833,121.720001,123.949997,9.403656,104.124001
"208",57.685398,20.956997,33.408512,46.14489,25.129999,22.151999,122.089996,124.610001,9.419327,102.739998
"209",57.986607,21.150114,34.014576,46.586609,25.219999,22.132618,122.169998,124.220001,9.411489,102.739998
"210",58.771561,21.335501,33.923252,46.310528,25.42,22.113237,122.110001,124.669998,9.419327,104.417
"211",57.922714,20.122732,33.308884,45.254562,24.67,22.297354,120.660004,125.339996,9.442838,104.152
"212",57.466351,19.674707,33.317188,45.102718,24.82,22.384567,120.019997,125.650002,9.450671,103.452499
"213",57.082989,19.937342,33.275669,45.082024,25.1,22.268284,120.849998,125.68,9.450671,102.682999
"214",57.840561,20.987896,33.939861,45.482327,25.610001,22.045406,122.150002,125.599998,9.442838,102.864502
"215",59.209675,21.77581,34.902924,45.91713,25.74,22.035717,122.290001,125.139999,9.419327,103.748001
"216",59.164043,21.721737,34.911224,46.131084,25.9,22.064787,121.860001,125.620003,9.435001,103.910004
"217",59.145779,21.644493,35.268223,46.062061,25.74,22.006643,122.300003,125.739998,9.462486,104.140999
"218",58.972374,21.65222,35.268223,45.841213,25.91,22.161692,121.5,125.150002,9.454632,104.327499
"219",58.762436,20.895199,34.703674,45.972343,25.73,22.200451,121.099998,125.610001,9.462486,104.400497
"220",59.875992,22.270189,35.49239,46.33123,26.27,21.929123,123.050003,125.040001,9.438929,104.325996
"221",60.332352,22.556002,35.72485,46.282925,26.27,21.900053,123.209999,125.589996,9.44678,104.786003
"222",60.834362,22.988579,35.791271,45.73769,26.290001,21.900053,123.239998,124.919998,9.423223,104.531998
"223",60.806984,22.841812,35.841084,45.427109,26.25,21.938812,122.860001,125.190002,9.407516,104.723999
"224",61.026047,22.702765,36.2728,45.344276,26.120001,21.977575,122.209999,125.5,9.415368,104.82
"225",62.358639,23.173969,35.791271,45.779095,26.26,21.977575,122.589996,123.459999,9.352547,104.694
"226",62.431671,23.32074,34.886314,46.027569,25.290001,21.657795,124.910004,125.059998,9.415368,105.445503
"227",62.559437,24.425369,35.218403,46.386452,25.32,21.396156,126.800003,125.459999,9.442106,105.824997
"228",62.459053,24.958372,35.708248,46.524487,25.209999,21.231422,127.809998,126.309998,9.426369,106.193497
"229",64.138474,25.305981,37.11134,46.869579,25.48,21.066687,129.559998,124.540001,9.418496,105.920502
"230",63.479271,24.758783,37.435131,45.280544,25.27,21.086067,129.339996,125.150002,9.483845,106.593498
"231",63.140602,24.968204,37.559669,45.336205,25.6,21.086067,129.449997,124.769997,9.460192,106.593498
